date,"Meal,Inexpensive Restaurant","Meal for 2 People,Mid-range Restaurant,Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),"Milk (regular),(1 liter)",Loaf of Fresh White Bread (500g),"Rice (white),(1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),"Basic (Electricity,Heating,Cooling,Water,Garbage) for 85m2 Apartment",Mobile Phone Monthly Plan with Calls and 10GB+ Data,"Internet (60 Mbps or More,Unlimited Data,Cable/ADSL)","Fitness Club,Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema,International Release,1 Seat","Preschool (or Kindergarten),Full Day,Private,Monthly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara,H&M,...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%),Yearly,for 20 Years Fixed-Rate"
2/1/2024,10,50,7,4,3,2.6,1.3,1.16,4.26,1.14,1.08,2.46,4.26,2.94,4.8,0.56,0.7,0.89,1.16,0.35,0.38,1.44,0.73,7,1.42,1.67,4.3,1.5,30,2,1.29,10,6.41,295.46,16.78,15.29,38.71,22.02,9,364.23,65.78,41.38,71.29,103,388.26,275,721.82,484.68,202.71,123.87,976.22,3.45
2/2/2024,10,50.16129032,7.016129032,4,3,2.606774194,1.302903226,1.159032258,4.26,1.140967742,1.080967742,2.461612903,4.258709677,2.942580645,4.803225806,0.560645161,0.700967742,0.891290323,1.16,0.35,0.380967742,1.441612903,0.730645161,7,1.422580645,1.671290323,4.306451613,1.5,30,2.004516129,1.29516129,9.990322581,6.407741935,295.8354839,16.7816129,15.31419355,38.76290323,22.05419355,9,365.4864516,65.88064516,41.41741935,71.36225806,103.1819355,390.6377419,275.7732258,724.4616129,486.3458065,203.3509677,124.3532258,976.22,3.460645161
2/3/2024,10,50.32258065,7.032258065,4,3,2.613548387,1.305806452,1.158064516,4.26,1.141935484,1.081935484,2.463225806,4.257419355,2.94516129,4.806451613,0.561290323,0.701935484,0.892580645,1.16,0.35,0.381935484,1.443225806,0.731290323,7,1.42516129,1.672580645,4.312903226,1.5,30,2.009032258,1.300322581,9.980645161,6.405483871,296.2109677,16.78322581,15.3383871,38.81580645,22.0883871,9,366.7429032,65.98129032,41.45483871,71.43451613,103.363871,393.0154839,276.5464516,727.1032258,488.0116129,203.9919355,124.8364516,976.22,3.471290323
2/4/2024,10,50.48387097,7.048387097,4,3,2.620322581,1.308709677,1.157096774,4.26,1.142903226,1.082903226,2.46483871,4.256129032,2.947741935,4.809677419,0.561935484,0.702903226,0.893870968,1.16,0.35,0.382903226,1.44483871,0.731935484,7,1.427741935,1.673870968,4.319354839,1.5,30,2.013548387,1.305483871,9.970967742,6.403225806,296.5864516,16.78483871,15.36258065,38.86870968,22.12258065,9,367.9993548,66.08193548,41.49225806,71.50677419,103.5458065,395.3932258,277.3196774,729.7448387,489.6774194,204.6329032,125.3196774,976.22,3.481935484
2/5/2024,10,50.64516129,7.064516129,4,3,2.627096774,1.311612903,1.156129032,4.26,1.143870968,1.083870968,2.466451613,4.25483871,2.950322581,4.812903226,0.562580645,0.703870968,0.89516129,1.16,0.35,0.383870968,1.446451613,0.732580645,7,1.430322581,1.67516129,4.325806452,1.5,30,2.018064516,1.310645161,9.961290323,6.400967742,296.9619355,16.78645161,15.38677419,38.9216129,22.15677419,9,369.2558065,66.18258065,41.52967742,71.57903226,103.7277419,397.7709677,278.0929032,732.3864516,491.3432258,205.273871,125.8029032,976.22,3.492580645
2/6/2024,10,50.80645161,7.080645161,4,3,2.633870968,1.314516129,1.15516129,4.26,1.14483871,1.08483871,2.468064516,4.253548387,2.952903226,4.816129032,0.563225806,0.70483871,0.896451613,1.16,0.35,0.38483871,1.448064516,0.733225806,7,1.432903226,1.676451613,4.332258065,1.5,30,2.022580645,1.315806452,9.951612903,6.398709677,297.3374194,16.78806452,15.41096774,38.97451613,22.19096774,9,370.5122581,66.28322581,41.56709677,71.65129032,103.9096774,400.1487097,278.866129,735.0280645,493.0090323,205.9148387,126.286129,976.22,3.503225806
2/7/2024,10,50.96774194,7.096774194,4,3,2.640645161,1.317419355,1.154193548,4.26,1.145806452,1.085806452,2.469677419,4.252258065,2.955483871,4.819354839,0.563870968,0.705806452,0.897741935,1.16,0.35,0.385806452,1.449677419,0.733870968,7,1.435483871,1.677741935,4.338709677,1.5,30,2.027096774,1.320967742,9.941935484,6.396451613,297.7129032,16.78967742,15.43516129,39.02741935,22.22516129,9,371.7687097,66.38387097,41.60451613,71.72354839,104.0916129,402.5264516,279.6393548,737.6696774,494.6748387,206.5558065,126.7693548,976.22,3.513870968
2/8/2024,10,51.12903226,7.112903226,4,3,2.647419355,1.320322581,1.153225806,4.26,1.146774194,1.086774194,2.471290323,4.250967742,2.958064516,4.822580645,0.564516129,0.706774194,0.899032258,1.16,0.35,0.386774194,1.451290323,0.734516129,7,1.438064516,1.679032258,4.34516129,1.5,30,2.031612903,1.326129032,9.932258065,6.394193548,298.0883871,16.79129032,15.45935484,39.08032258,22.25935484,9,373.0251613,66.48451613,41.64193548,71.79580645,104.2735484,404.9041935,280.4125806,740.3112903,496.3406452,207.1967742,127.2525806,976.22,3.524516129
2/9/2024,10,51.29032258,7.129032258,4,3,2.654193548,1.323225806,1.152258065,4.26,1.147741935,1.087741935,2.472903226,4.249677419,2.960645161,4.825806452,0.56516129,0.707741935,0.900322581,1.16,0.35,0.387741935,1.452903226,0.73516129,7,1.440645161,1.680322581,4.351612903,1.5,30,2.036129032,1.331290323,9.922580645,6.391935484,298.463871,16.79290323,15.48354839,39.13322581,22.29354839,9,374.2816129,66.58516129,41.67935484,71.86806452,104.4554839,407.2819355,281.1858065,742.9529032,498.0064516,207.8377419,127.7358065,976.22,3.53516129
2/10/2024,10,51.4516129,7.14516129,4,3,2.660967742,1.326129032,1.151290323,4.26,1.148709677,1.088709677,2.474516129,4.248387097,2.963225806,4.829032258,0.565806452,0.708709677,0.901612903,1.16,0.35,0.388709677,1.454516129,0.735806452,7,1.443225806,1.681612903,4.358064516,1.5,30,2.040645161,1.336451613,9.912903226,6.389677419,298.8393548,16.79451613,15.50774194,39.18612903,22.32774194,9,375.5380645,66.68580645,41.71677419,71.94032258,104.6374194,409.6596774,281.9590323,745.5945161,499.6722581,208.4787097,128.2190323,976.22,3.545806452
