date,points
2/1/2024,143.4
2/2/2024,143.48
2/3/2024,143.56
2/4/2024,143.65
2/5/2024,143.72
2/6/2024,143.8
2/7/2024,143.88
2/8/2024,143.95
2/9/2024,144.02
2/10/2024,144.09
2/11/2024,144.16
2/12/2024,144.22
2/13/2024,144.29
2/14/2024,144.35
2/15/2024,144.41
2/16/2024,144.47
2/17/2024,144.53
2/18/2024,144.58
2/19/2024,144.64
2/20/2024,144.69
2/21/2024,144.74
2/22/2024,144.79
2/23/2024,144.84
2/24/2024,144.88
2/25/2024,144.93
2/26/2024,144.97
2/27/2024,145.01
2/28/2024,145.06
2/29/2024,145.1
3/1/2024,145.13
3/2/2024,145.17
3/3/2024,145.21
3/4/2024,145.24
3/5/2024,145.28
3/6/2024,145.31
3/7/2024,145.34
3/8/2024,145.37
3/9/2024,145.4
3/10/2024,145.43
3/11/2024,145.46
3/12/2024,145.49
3/13/2024,145.51
3/14/2024,145.54
3/15/2024,145.57
3/16/2024,145.59
3/17/2024,145.61
3/18/2024,145.64
3/19/2024,145.66
3/20/2024,145.68
3/21/2024,145.7
3/22/2024,145.72
3/23/2024,145.74
3/24/2024,145.76
3/25/2024,145.78
3/26/2024,145.8
3/27/2024,145.82
3/28/2024,145.84
3/29/2024,145.86
3/30/2024,145.88
3/31/2024,145.9
4/1/2024,145.91
4/2/2024,145.93
4/3/2024,145.95
4/4/2024,145.97
4/5/2024,145.98
4/6/2024,146
4/7/2024,146.02
4/8/2024,146.04
4/9/2024,146.05
4/10/2024,146.07
4/11/2024,146.09
4/12/2024,146.11
4/13/2024,146.13
4/14/2024,146.14
4/15/2024,146.16
4/16/2024,146.18
4/17/2024,146.2
4/18/2024,146.22
4/19/2024,146.24
4/20/2024,146.27
4/21/2024,146.29
4/22/2024,146.31
4/23/2024,146.33
4/24/2024,146.36
4/25/2024,146.38
4/26/2024,146.4
4/27/2024,146.43
4/28/2024,146.46
4/29/2024,146.48
4/30/2024,146.51
5/1/2024,146.52
