date,A95 (€/l),DSL (€/l),LPG (€/l)
2/1/2024,1.598,1.603,0.731
2/2/2024,1.598,1.604,0.728
2/3/2024,1.598,1.604,0.728
2/4/2024,1.598,1.604,0.728
2/5/2024,1.598,1.605,0.728
2/6/2024,1.6,1.607,0.728
2/7/2024,1.606,1.618,0.722
2/8/2024,1.61,1.622,0.718
2/9/2024,1.621,1.632,0.72
2/10/2024,1.639,1.638,0.727
2/11/2024,1.64,1.645,0.721
2/12/2024,1.643,1.649,0.721
2/13/2024,1.647,1.654,0.721
2/14/2024,1.649,1.66,0.722
2/15/2024,1.651,1.664,0.722
2/16/2024,1.644,1.666,0.725
2/17/2024,1.645,1.679,0.726
2/18/2024,1.646,1.68,0.726
2/19/2024,1.648,1.682,0.735
2/20/2024,1.652,1.685,0.737
2/21/2024,1.654,1.689,0.738
2/22/2024,1.656,1.692,0.738
2/23/2024,1.656,1.692,0.738
2/24/2024,1.657,1.693,0.738
2/25/2024,1.66,1.693,0.736
2/26/2024,1.661,1.693,0.736
2/27/2024,1.661,1.694,0.736
2/28/2024,1.665,1.694,0.737
2/29/2024,1.668,1.694,0.737
3/1/2024,1.668,1.694,0.737
3/2/2024,1.669,1.694,0.737
3/3/2024,1.67,1.694,0.737
3/4/2024,1.671,1.694,0.727
3/5/2024,1.674,1.695,0.728
3/6/2024,1.675,1.695,0.727
3/7/2024,1.676,1.695,0.727
3/8/2024,1.676,1.694,0.727
3/9/2024,1.678,1.695,0.727
3/10/2024,1.678,1.695,0.73
3/11/2024,1.679,1.695,0.73
3/12/2024,1.679,1.695,0.73
3/13/2024,1.68,1.694,0.729
3/14/2024,1.672,1.684,0.727
3/15/2024,1.677,1.687,0.728
3/16/2024,1.678,1.686,0.734
3/17/2024,1.678,1.682,0.735
3/18/2024,1.679,1.68,0.735
3/19/2024,1.679,1.678,0.729
3/20/2024,1.681,1.677,0.728
3/21/2024,1.681,1.677,0.729
3/22/2024,1.682,1.677,0.729
3/23/2024,1.682,1.676,0.73
3/24/2024,1.682,1.675,0.73
3/25/2024,1.682,1.674,0.73
3/26/2024,1.683,1.675,0.73
3/27/2024,1.686,1.675,0.73
3/28/2024,1.69,1.674,0.73
3/29/2024,1.692,1.674,0.73
3/30/2024,1.693,1.673,0.729
3/31/2024,1.703,1.679,0.73
4/1/2024,1.706,1.679,0.73
4/2/2024,1.707,1.679,0.73
4/3/2024,1.71,1.68,0.73
4/4/2024,1.712,1.681,0.73
4/5/2024,1.713,1.684,0.73
4/6/2024,1.714,1.686,0.73
4/7/2024,1.715,1.687,0.73
4/8/2024,1.718,1.688,0.73
4/9/2024,1.724,1.689,0.73
4/10/2024,1.719,1.683,0.734
4/11/2024,1.723,1.686,0.736
4/12/2024,1.724,1.688,0.736
4/13/2024,1.725,1.688,0.736
4/14/2024,1.728,1.69,0.74
4/15/2024,1.728,1.69,0.74
4/16/2024,1.729,1.689,0.74
4/17/2024,1.732,1.689,0.741
4/18/2024,1.732,1.689,0.741
4/19/2024,1.733,1.689,0.741
4/20/2024,1.733,1.689,0.74
4/21/2024,1.733,1.688,0.74
4/22/2024,1.733,1.688,0.735
4/23/2024,1.733,1.685,0.735
4/24/2024,1.733,1.682,0.735
4/25/2024,1.733,1.68,0.735
4/26/2024,1.734,1.68,0.736
4/27/2024,1.734,1.678,0.736
4/28/2024,1.733,1.678,0.736
4/29/2024,1.734,1.674,0.736
4/30/2024,1.734,1.674,0.736
5/1/2024,1.734,1.674,0.736
